Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
GJ8116     | Loong Air                                | 2026-02-12 16:20     | CZX      | 320      | N/A
9C6300     | Spring Airlines                          | 2026-02-12 16:20     | BKK      | 320      | N/A
HO1712     | Juneyao Air (Blossoming China Livery)    | 2026-02-12 16:25     | NKG      | A320     | B-8035
KY8255     | Kunming Airlines                         | 2026-02-12 16:25     | KMG      | B738     | B-1991
MU2302     | China Eastern Airlines                   | 2026-02-12 16:25     | CAN      | A20N     | B-308W
GS7676     | Tianjin Airlines                         | 2026-02-12 16:30     | KOW      | A320     | B-6865
MF8217     | Xiamen Air                               | 2026-02-12 16:30     | XMN      | B38M     | B-20EK
SC7951     | Shandong Airlines                        | 2026-02-12 16:30     | ZUH      | B738     | B-5650
MU5553     | China Eastern Airlines                   | 2026-02-12 16:35     | KHN      | AJ27     | B-659A
MU2158     | China Eastern Airlines                   | 2026-02-12 16:45     | SHA      | A20N     | B-32DK
MU5723     | China Eastern Airlines                   | 2026-02-12 16:45     | KMG      | B738     | B-7170
G52706     | China Express Airlines                   | 2026-02-12 16:45     | LLV      | 321      | N/A
CZ6349     | China Southern Airlines                  | 2026-02-12 16:50     | DLC      | A320     | B-6786
CZ6951     | China Southern Airlines                  | 2026-02-12 16:50     | URC      | 7M8      | N/A
G52798     | China Express Airlines                   | 2026-02-12 16:50     | UYN      | 321      | N/A
MU2391     | China Eastern Airlines                   | 2026-02-12 16:50     | WNZ      | A20N     | B-325T
9H8380     | Air Changan                              | 2026-02-12 16:55     | AAT      | 738      | N/A
CZ3207     | China Southern Airlines                  | 2026-02-12 16:55     | CAN      | 32Q      | N/A
GS7495     | Tianjin Airlines                         | 2026-02-12 16:55     | HMI      | E190     | B-3190
CA1201     | Air China                                | 2026-02-12 17:00     | PEK      | A321     | B-8595
